x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5326277E+01 2.0960402E-02 6.5628293E-02 -2.9977607E-03 0.0000000E+00 7.1124082E-03 1.3394046E-03 1.0342238E-02 0.0000000E+00 6.1290478E-03 1.9412890E-03 8.4772445E-03 1.1311175E-02 0.0000000E+00 0.0000000E+00 4.5911250E+00 1.5788640E+01 1.8742315E-04
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5306809E+01 3.5878807E-02 1.0990077E-01 -2.7014728E-03 1.1003702E-03 7.6057093E-03 3.1336730E-03 8.0115774E-03 3.9802445E-05 5.2915831E-03 1.5038125E-03 7.1173846E-03 2.0034684E-02 3.2896564E-03 5.6943797E-06 2.3811994E+00 1.8077611E+01 -7.8334129E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5284397E+01 6.0239311E-02 1.5810533E-01 -2.4488702E-03 2.6768295E-03 7.8599970E-03 4.4971105E-03 6.0245543E-03 1.0407442E-04 4.9023862E-03 1.1308385E-03 6.2668701E-03 2.7472578E-02 7.9992417E-03 1.4285177E-05 2.1561954E+00 1.8340037E+01 -1.4060707E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5265741E+01 8.1989059E-02 1.9829922E-01 -2.2567053E-03 4.1272723E-03 8.0149620E-03 5.4958506E-03 4.5129456E-03 1.7069428E-04 4.7369021E-03 8.4710209E-04 5.7380875E-03 3.3131415E-02 1.2330877E-02 2.2700158E-05 2.0629838E+00 1.8453687E+01 -1.8212202E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5251845E+01 9.8591388E-02 2.2859184E-01 -2.1184839E-03 5.2768784E-03 8.1409457E-03 6.2287495E-03 3.4256672E-03 2.2652277E-04 4.6736687E-03 6.4301458E-04 5.4071317E-03 3.7202122E-02 1.5763252E-02 2.9693559E-05 2.0166905E+00 1.8511823E+01 -2.0867445E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5241932E+01 1.1057377E-01 2.5051935E-01 -2.0215523E-03 6.1347359E-03 8.2619222E-03 6.7753417E-03 2.6631837E-03 2.6878566E-04 4.6563863E-03 4.9989268E-04 5.1990887E-03 4.0057074E-02 1.8324167E-02 3.5073004E-05 1.9923092E+00 1.8543330E+01 -2.2518251E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5234946E+01 1.1906825E-01 2.6620174E-01 -1.9538761E-03 6.7588748E-03 8.3820588E-03 7.1926371E-03 2.1308288E-03 2.9885089E-04 4.6573650E-03 3.9996705E-04 5.0657376E-03 4.2050534E-02 2.0187232E-02 3.9053726E-05 1.9789982E+00 1.8561066E+01 -2.3535357E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5230000E+01 1.2509494E-01 2.7747532E-01 -1.9061125E-03 7.2110530E-03 8.4992651E-03 7.5195680E-03 1.7551107E-03 3.1960435E-04 4.6639389E-03 3.2944291E-04 4.9773308E-03 4.3457573E-02 2.1536971E-02 4.1955636E-05 1.9717971E+00 1.8571103E+01 -2.4162307E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5226441E+01 1.2942668E-01 2.8571338E-01 -1.8716829E-03 7.5417202E-03 8.6107668E-03 7.7822466E-03 1.4842799E-03 3.3403216E-04 4.6708940E-03 2.7860664E-04 4.9160952E-03 4.4471904E-02 2.2524036E-02 4.4073293E-05 1.9678165E+00 1.8576963E+01 -2.4556077E-02
