x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
3.1381000E+02 2.5927000E+02 8.6700000E+00 0.0000000E+00 10 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 5.0000000E+00 10 5.5327813E+01 1.9669138E-02 6.3376721E-02 -3.0197087E-03 0.0000000E+00 7.2311385E-03 1.3617639E-03 1.0514886E-02 0.0000000E+00 6.2313625E-03 1.9736957E-03 8.6187586E-03 1.0665367E-02 0.0000000E+00 0.0000000E+00 5.1739571E+00 1.4537801E+01 8.8414845E-04
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.0000000E+01 10 5.5308722E+01 3.4370995E-02 1.0698884E-01 -2.7299297E-03 1.0934760E-03 7.7589250E-03 3.1619376E-03 8.2354253E-03 1.4981273E-05 5.4206497E-03 1.5458298E-03 7.2976439E-03 1.9205593E-02 3.2696969E-03 1.6106668E-05 2.4655667E+00 1.7710210E+01 -6.3428435E-03
3.1381000E+02 2.5927000E+02 8.6700000E+00 1.5000000E+01 10 5.5286933E+01 5.7987977E-02 1.5389955E-01 -2.4833670E-03 2.6148883E-03 8.0461354E-03 4.5317775E-03 6.2959128E-03 3.4968982E-05 5.0327204E-03 1.1817738E-03 6.4581498E-03 2.6473023E-02 7.8146067E-03 3.8157785E-05 2.2041599E+00 1.8028659E+01 -1.2327048E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.0000000E+01 10 5.5269290E+01 7.8478274E-02 1.9207107E-01 -2.3005022E-03 3.9839425E-03 8.2468718E-03 5.5354533E-03 4.8574606E-03 5.4429223E-05 4.8692098E-03 9.1176924E-04 5.9498709E-03 3.1863485E-02 1.1903149E-02 5.7610369E-05 2.1030035E+00 1.8152373E+01 -1.6200834E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 2.5000000E+01 10 5.5256319E+01 9.3966968E-02 2.2052840E-01 -2.1712699E-03 5.0617062E-03 8.4197833E-03 6.2758093E-03 3.8408932E-03 7.0978917E-05 4.8107993E-03 7.2095455E-04 5.6427201E-03 3.5673262E-02 1.5121228E-02 7.2576108E-05 2.0552576E+00 1.8210239E+01 -1.8573475E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.0000000E+01 10 5.5247072E+01 1.0515583E-01 2.4114296E-01 -2.0809590E-03 5.8678459E-03 8.5807125E-03 6.8332836E-03 3.1304894E-03 8.4285005E-05 4.7973497E-03 5.8760825E-04 5.4531772E-03 3.8335800E-02 1.7528039E-02 8.3493272E-05 2.0309518E+00 1.8239343E+01 -2.0004595E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 3.5000000E+01 10 5.5240521E+01 1.1313259E-01 2.5598754E-01 -2.0175550E-03 6.4579885E-03 8.7326472E-03 7.2636181E-03 2.6317408E-03 9.4677179E-05 4.8003471E-03 4.9399069E-04 5.3316252E-03 4.0205173E-02 1.9289885E-02 9.1282752E-05 2.0181311E+00 1.8254541E+01 -2.0869671E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.0000000E+01 10 5.5235860E+01 1.1881006E-01 2.6672037E-01 -1.9724952E-03 6.8866877E-03 8.8753023E-03 7.6041258E-03 2.2772913E-03 1.0262682E-04 4.8072045E-03 4.2745878E-04 5.2497323E-03 4.1533763E-02 2.0569732E-02 9.6798716E-05 2.0112551E+00 1.8262622E+01 -2.1398610E-02
3.1381000E+02 2.5927000E+02 8.6700000E+00 4.5000000E+01 10 5.5232512E+01 1.2287275E-01 2.7456009E-01 -1.9399303E-03 7.1983399E-03 9.0079013E-03 7.8797135E-03 2.0211293E-03 1.0863163E-04 4.8130019E-03 3.7937590E-04 5.1915278E-03 4.2493984E-02 2.1500160E-02 1.0070783E-04 2.0075550E+00 1.8267001E+01 -2.1727640E-02
