x y z_datum Time Well_no H2O H O Charge Al C Ca Cl Fe K Mg Na S Si U pH pe Alkalinity
2.6764000E+02 2.7427000E+02 8.6700000E+00 0.0000000E+00 9 9.9704301E-01 7.2098600E-06 6.6484776E-04 -3.2324431E-06 0.0000000E+00 1.0067647E-04 6.3262499E-05 4.3211171E-04 0.0000000E+00 2.8240956E-04 5.5605061E-05 2.2967748E-04 1.4127542E-04 0.0000000E+00 0.0000000E+00 7.0300000E+00 -2.2001569E+00 7.1999443E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 5.0000000E+00 9 5.5325890E+01 2.1285999E-02 6.6196036E-02 -2.9922264E-03 0.0000000E+00 7.0824698E-03 1.3337667E-03 1.0298705E-02 0.0000000E+00 6.1032487E-03 1.9331175E-03 8.4415611E-03 1.1474018E-02 0.0000000E+00 0.0000000E+00 4.2485070E+00 1.6134130E+01 9.3249473E-06
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.0000000E+01 9 5.5306323E+01 3.6415520E-02 1.1045611E-01 -2.6961034E-03 1.0928265E-03 7.5612626E-03 3.1128027E-03 7.9693409E-03 3.9834540E-05 5.2632208E-03 1.4958845E-03 7.0785236E-03 2.0192768E-02 3.2672698E-03 5.7839884E-06 2.3642971E+00 1.8095507E+01 -8.1514999E-03
2.6764000E+02 2.7427000E+02 8.6700000E+00 1.5000000E+01 9 5.5284392E+01 6.0148816E-02 1.5770656E-01 -2.4476398E-03 2.6326726E-03 7.8236163E-03 4.4661325E-03 6.0148756E-03 1.0248956E-04 4.8751112E-03 1.1290217E-03 6.2364902E-03 2.7508887E-02 7.8673721E-03 1.4306988E-05 2.1484176E+00 1.8347782E+01 -1.4307077E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.0000000E+01 9 5.5266297E+01 8.1178406E-02 1.9681155E-01 -2.2604283E-03 4.0420634E-03 7.9936859E-03 5.4582273E-03 4.5422312E-03 1.6660451E-04 4.7118435E-03 8.5259913E-04 5.7197634E-03 3.3021918E-02 1.2076397E-02 2.2536283E-05 2.0593706E+00 1.8456681E+01 -1.8336690E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 2.5000000E+01 9 5.5252879E+01 9.7187435E-02 2.2614421E-01 -2.1266860E-03 5.1528703E-03 8.1361004E-03 6.1878896E-03 3.4901867E-03 2.2065535E-04 4.6495867E-03 6.5512521E-04 5.3991042E-03 3.6960744E-02 1.5392975E-02 2.9293152E-05 2.0154823E+00 1.8512063E+01 -2.0878610E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.0000000E+01 9 5.5243368E+01 1.0866288E-01 2.4726335E-01 -2.0334490E-03 5.9767596E-03 8.2733254E-03 6.7345081E-03 2.7567653E-03 2.6128448E-04 4.6319871E-03 5.1745840E-04 5.1987476E-03 3.9706899E-02 1.7852564E-02 3.4434533E-05 1.9925219E+00 1.8541927E+01 -2.2438445E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 3.5000000E+01 9 5.5236711E+01 1.1673600E-01 2.6228966E-01 -1.9686976E-03 6.5721341E-03 8.4092816E-03 7.1547803E-03 2.2474179E-03 2.9001224E-04 4.6316638E-03 4.2185139E-04 5.0706897E-03 4.1614222E-02 1.9629861E-02 3.8199243E-05 1.9804877E+00 1.8558233E+01 -2.3380736E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.0000000E+01 9 5.5232028E+01 1.2241929E-01 2.7304597E-01 -1.9231743E-03 7.0004843E-03 8.5418059E-03 7.4871926E-03 1.8893220E-03 3.0991527E-04 4.6362414E-03 3.5463503E-04 4.9855655E-03 4.2955285E-02 2.0908573E-02 4.0915528E-05 1.9740779E+00 1.8567369E+01 -2.3952649E-02
2.6764000E+02 2.7427000E+02 8.6700000E+00 4.5000000E+01 9 5.5228671E+01 1.2647972E-01 2.8089108E-01 -1.8903921E-03 7.3119729E-03 8.6680079E-03 7.7573373E-03 1.6314509E-03 3.2352775E-04 4.6408021E-03 3.0623135E-04 4.9260371E-03 4.3921100E-02 2.1838484E-02 4.2879647E-05 1.9706719E+00 1.8572576E+01 -2.4305663E-02
